epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.414,1.51511,1.81419,1.49927,0.72759,0.53238,0.658,0.32113,1.59774,1.8905,1.69459,0.000661765,0.000661765,0.000661765
2,1582.6,1.55069,1.5708,1.48651,0.59895,0.43581,0.48753,0.1912,2.01801,1.98008,1.85953,0.00130213,0.00130213,0.00130213
3,1907.78,1.56411,1.52996,1.50868,0.71013,0.62075,0.65302,0.36094,1.55878,1.55425,1.57967,0.00191609,0.00191609,0.00191609
4,2313.81,1.56124,1.45527,1.49211,0.81386,0.63515,0.73668,0.39733,1.55226,1.52917,1.58729,0.0018812,0.0018812,0.0018812
5,2772.58,1.50306,1.36776,1.46175,0.73475,0.56081,0.60562,0.33989,1.62413,1.64954,1.69343,0.0018416,0.0018416,0.0018416
6,3194.73,1.50922,1.32812,1.46708,0.70685,0.74129,0.74383,0.30698,1.726,1.40914,1.55772,0.001802,0.001802,0.001802
7,3622.24,1.43348,1.24533,1.41182,0.89496,0.77703,0.87038,0.49573,1.42269,1.05632,1.42711,0.0017624,0.0017624,0.0017624
8,4068.63,1.42553,1.21914,1.4088,0.76796,0.73311,0.77586,0.43822,1.45178,1.16983,1.40868,0.0017228,0.0017228,0.0017228
9,4546.66,1.43145,1.20535,1.41116,0.94009,0.79512,0.89933,0.53703,1.31123,0.9662,1.34326,0.0016832,0.0016832,0.0016832
10,5052.94,1.38536,1.15886,1.38377,0.81334,0.83907,0.86047,0.5504,1.26012,1.01467,1.29692,0.0016436,0.0016436,0.0016436
11,5482.85,1.3954,1.11432,1.37284,0.73332,0.75249,0.78112,0.38053,1.53034,1.25769,1.43699,0.001604,0.001604,0.001604
12,5895.8,1.32352,1.08306,1.33529,0.87456,0.84122,0.87276,0.54314,1.22822,0.92777,1.29423,0.0015644,0.0015644,0.0015644
13,6311.43,1.32841,1.04497,1.32747,0.90975,0.86149,0.91447,0.57401,1.24715,0.8607,1.27693,0.0015248,0.0015248,0.0015248
14,6731.01,1.32126,1.01136,1.32253,0.95054,0.86824,0.93174,0.6143,1.20077,0.7489,1.22493,0.0014852,0.0014852,0.0014852
15,7146.41,1.28784,0.97153,1.29565,0.91255,0.875,0.91992,0.60242,1.20602,0.75712,1.24696,0.0014456,0.0014456,0.0014456
16,7553.84,1.28507,0.95504,1.29374,0.92478,0.87222,0.91979,0.5972,1.22733,0.77118,1.22441,0.001406,0.001406,0.001406
17,7966.64,1.28573,0.94447,1.29504,0.92296,0.86486,0.92088,0.6217,1.1793,0.73338,1.21171,0.0013664,0.0013664,0.0013664
18,8372.03,1.27164,0.94096,1.30109,0.94325,0.87838,0.92415,0.60903,1.20714,0.71516,1.22853,0.0013268,0.0013268,0.0013268
19,8793.35,1.2664,0.91814,1.28607,0.94062,0.85631,0.92257,0.60854,1.17663,0.73596,1.21319,0.0012872,0.0012872,0.0012872
20,9201.53,1.24568,0.90596,1.27419,0.93726,0.88514,0.91527,0.6257,1.18986,0.70657,1.20704,0.0012476,0.0012476,0.0012476
21,9612.41,1.23585,0.8909,1.2807,0.93011,0.89189,0.92641,0.62688,1.2021,0.66687,1.2421,0.001208,0.001208,0.001208
22,10022.4,1.2349,0.87071,1.26167,0.92359,0.88176,0.92408,0.60863,1.17965,0.68173,1.22736,0.0011684,0.0011684,0.0011684
23,10440.2,1.20833,0.86083,1.2515,0.90165,0.87838,0.92352,0.63514,1.14291,0.65801,1.18259,0.0011288,0.0011288,0.0011288
24,10854.3,1.19973,0.8331,1.25581,0.94784,0.89527,0.93797,0.6245,1.15647,0.6544,1.20768,0.0010892,0.0010892,0.0010892
25,11273.6,1.2094,0.82917,1.24995,0.96019,0.89637,0.94156,0.63443,1.17329,0.64743,1.2129,0.0010496,0.0010496,0.0010496
26,11683.7,1.20772,0.84834,1.24279,0.93941,0.89046,0.93144,0.63548,1.1586,0.66138,1.19956,0.00101,0.00101,0.00101
27,12090.6,1.16567,0.80765,1.22724,0.93034,0.89527,0.9356,0.63943,1.16057,0.63007,1.19384,0.0009704,0.0009704,0.0009704
28,12499.6,1.14328,0.77424,1.21208,0.95391,0.90878,0.95024,0.66157,1.09177,0.58047,1.16588,0.0009308,0.0009308,0.0009308
29,12904.9,1.17168,0.78388,1.2301,0.94738,0.90541,0.94245,0.65795,1.12415,0.59433,1.17043,0.0008912,0.0008912,0.0008912
30,13314.4,1.15805,0.79004,1.21842,0.96302,0.90541,0.94953,0.66385,1.08439,0.58211,1.15209,0.0008516,0.0008516,0.0008516
31,13721.5,1.13525,0.77648,1.21076,0.94661,0.89849,0.94921,0.63504,1.12448,0.62116,1.17015,0.000812,0.000812,0.000812
32,14134.4,1.13246,0.75944,1.20461,0.94443,0.91859,0.95006,0.65911,1.10667,0.58954,1.14599,0.0007724,0.0007724,0.0007724
33,14547.4,1.11554,0.74164,1.19056,0.95956,0.91892,0.94964,0.67045,1.07415,0.55768,1.13649,0.0007328,0.0007328,0.0007328
34,14971.9,1.10731,0.72923,1.1885,0.95771,0.91812,0.94485,0.67874,1.06703,0.5656,1.13168,0.0006932,0.0006932,0.0006932
35,15389.2,1.10228,0.71772,1.19771,0.96106,0.9173,0.94595,0.68518,1.0676,0.54315,1.13799,0.0006536,0.0006536,0.0006536
36,15797.1,1.07809,0.70834,1.18646,0.96261,0.90878,0.94336,0.67136,1.06805,0.55413,1.13794,0.000614,0.000614,0.000614
37,16348.6,1.07947,0.7083,1.18356,0.97826,0.91213,0.94721,0.67892,1.05274,0.53048,1.1254,0.0005744,0.0005744,0.0005744
38,16887.2,1.06653,0.68232,1.17195,0.98156,0.89926,0.94941,0.67006,1.08148,0.53344,1.15209,0.0005348,0.0005348,0.0005348
39,17334,1.04816,0.67234,1.16826,0.94799,0.92364,0.94985,0.67308,1.05431,0.53243,1.13275,0.0004952,0.0004952,0.0004952
40,17749.2,1.03249,0.67173,1.17192,0.97281,0.91892,0.96266,0.67429,1.06256,0.51615,1.13194,0.0004556,0.0004556,0.0004556
41,18155.7,0.96162,0.53788,1.12384,0.95972,0.91892,0.95252,0.66437,1.07719,0.56675,1.15849,0.000416,0.000416,0.000416
42,18570.5,0.9188,0.50081,1.10246,0.95424,0.88514,0.93628,0.65581,1.10281,0.57542,1.15577,0.0003764,0.0003764,0.0003764
43,18991.4,0.88939,0.47814,1.07722,0.94793,0.92258,0.94616,0.67315,1.04883,0.52232,1.12263,0.0003368,0.0003368,0.0003368
44,19403.3,0.89195,0.46208,1.07223,0.95524,0.90878,0.94341,0.67194,1.0743,0.53471,1.14495,0.0002972,0.0002972,0.0002972
45,19821.4,0.87048,0.45713,1.06888,0.97171,0.90878,0.95895,0.67771,1.05746,0.51533,1.1444,0.0002576,0.0002576,0.0002576
46,20223.6,0.85541,0.44741,1.06755,0.96127,0.9224,0.95292,0.68268,1.04864,0.51783,1.13611,0.000218,0.000218,0.000218
47,20630.6,0.8516,0.44074,1.05725,0.97461,0.9076,0.95281,0.68741,1.04218,0.5129,1.13233,0.0001784,0.0001784,0.0001784
48,21035.9,0.82858,0.43406,1.05298,0.981,0.90878,0.95373,0.69305,1.02655,0.50417,1.12149,0.0001388,0.0001388,0.0001388
49,21443.3,0.82474,0.42191,1.05071,0.97286,0.90541,0.9529,0.6949,1.01872,0.49554,1.11364,9.92e-05,9.92e-05,9.92e-05
50,21850.2,0.81761,0.42727,1.0401,0.97305,0.91216,0.95437,0.69309,1.01936,0.48455,1.12031,5.96e-05,5.96e-05,5.96e-05
